Entity,Type,Sub-Type
Brad Pitt,Person, Actor Producer
Donald Trump,Person, President Businessman TelevisionPersonality
Albert Einstein,Person, Physicist
Gordon Ramsey,Person, Chef Restaurateur TelevisionPersonality
Chris Evans,Person, Actor
Steven Spielberg,Person, Filmmaker
Freddie Mercury,Person, SongWriter Producer Musician
Edgar Allan Poe,Person, Writer Editor Inventor
Jerry Rice,Person, Footballer
Mark Twain,Person, Writer Publisher Lecturer
Leonardo da Vinci,Person, Painter Sculptor Architect Engineer Scientist
Naina Lal Kidwai,Person, Banker Accountant Executive President CharteredAccountant
